'Hot Girl EP29 Chinese Drama 【Eng Sub】| NewTV Drama',39
'Love In Hanyuan EP04 Chinese Drama 【Eng Sub】| NewTV Drama',39
'【Eng Sub】Secret History of Princess Taiping EP11 ( Jia Jingwen，Zheng Shuang)太平公主秘史',41
'【Eng Sub】Secret History of Princess Taiping EP07 ( Jia Jingwen，Zheng Shuang)太平公主秘史',40
'神犬小七S2  EP36（张云龙，王洋）',40
'神犬小七S2  EP12（张云龙，王洋）',45
'Hot Girl EP28 Chinese Drama 【Eng Sub】| NewTV Drama',37
'麻辣变形计 EP22（迪丽热巴，马可，邵兵）',38
'愛來的剛好 EP02（韩栋、江铠同、李威）',40
'麻辣变形计 EP32（迪丽热巴，马可，邵兵）',36
'神犬小七S2  EP39（张云龙，王洋）',40
'宰相刘罗锅 EP01（李保田、张国立、王刚、邓婕）',41
'【Eng Sub】Secret History of Princess Taiping EP10 ( Jia Jingwen，Zheng Shuang)太平公主秘史',38
'Hot Girl EP33 Chinese Drama 【Eng Sub】| NewTV Drama',39
'麻辣变形计 EP14（迪丽热巴，马可，邵兵）',39
'麻辣变形计 EP36（迪丽热巴，马可，邵兵）',37
'神犬小七S2  EP10（张云龙，王洋）',38
'郑凯新剧壮志高飞演机长 陈乔恩高空恋情紧张刺激',37
'《她很漂亮》 第3集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',45
'幸福小丈夫 EP01（陈英俊、黄娟）古装贺岁喜剧',38
'铁齿铜牙纪晓岚第1部 EP01（张国立、王刚、张铁林、袁莉）',39
'愛來的剛好 EP54（韩栋、江铠同、李威）',38
'《她很漂亮》 第4集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',47
'薛平贵与王宝钏 46',48
'愛來的剛好 EP51（韩栋、江铠同、李威）',36
'神犬小七S2  EP40（张云龙，王洋）',34
'Love Just Come EP01 Chinese Drama 【Eng Sub】| NewTV Drama',37
'麻辣变形计 EP20（迪丽热巴，马可，邵兵）',33
'《她很漂亮》 第5集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',40
'愛來的剛好 EP59（韩栋、江铠同、李威）',41
'Love Just Come EP59 Chinese Drama 【Eng Sub】| NewTV Drama',32
'麻辣变形计 EP13（迪丽热巴，马可，邵兵）',30
'麻辣变形计 EP23（迪丽热巴，马可，邵兵）',29
'麻辣变形计 EP17（迪丽热巴，马可，邵兵）',31
'麻辣变形计 EP03（迪丽热巴，马可，邵兵）',28
'薛平贵与王宝钏 52',35
'麻辣变形计 EP02（迪丽热巴，马可，邵兵）',28
'Love In Hanyuan EP05 Chinese Drama 【Eng Sub】| NewTV Drama',28
'大祠堂 EP01 (林心如，赵鸿飞，潘虹)',35
'麻辣变形计 EP16（迪丽热巴马可',27
'愛來的剛好 EP58（韩栋、江铠同、李威）',29
'神犬小七S2  EP34（张云龙，王洋）',32
'中國小保姆帮男主人洗操，女主人突然闖入......',55
'愛來的剛好 EP08（韩栋、江铠同、李威）',30
'《她很漂亮》 第6集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',39
'愛來的剛好 EP04（韩栋、江铠同、李威）',31
'Love In Hanyuan EP06 Chinese Drama 【Eng Sub】| NewTV Drama',27
'宰相刘罗锅 EP14（李保田、张国立、王刚、邓婕）',39
'麻辣变形计 EP35（迪丽热巴，马可，邵兵）',27
'愛來的剛好 EP34（韩栋、江铠同、李威）',34
'愛來的剛好 EP23（韩栋、江铠同、李威）',30
'愛來的剛好 EP56（韩栋、江铠同、李威）',32
'Love In Hanyuan EP07 Chinese Drama 【Eng Sub】| NewTV Drama',27
'Love In Hanyuan EP08 Chinese Drama 【Eng Sub】| NewTV Drama',25
'薛平贵与王宝钏 45',32
'【Eng Sub】Secret History of Princess Taiping EP12 ( Jia Jingwen，Zheng Shuang)太平公主秘史',25
'愛來的剛好 EP57（韩栋、江铠同、李威）',34
'愛來的剛好 EP09（韩栋、江铠同、李威）',27
'麻辣变形计 EP28（迪丽热巴，马可，邵兵）',29
'麻辣变形计 EP29（迪丽热巴，马可，邵兵）',27
'愛來的剛好 EP53（韩栋、江铠同、李威）',28
'【Eng Sub】Secret History of Princess Taiping EP08 ( Jia Jingwen，Zheng Shuang)太平公主秘史',24
'愛來的剛好 EP03（韩栋、江铠同、李威）',26
'愛來的剛好 EP55（韩栋、江铠同、李威）',31
'宰相刘罗锅 EP02（李保田、张国立、王刚、邓婕）',25
'Love In Hanyuan EP12 Chinese Drama 【Eng Sub】| NewTV Drama',25
'愛來的剛好 EP35（韩栋、江铠同、李威）',23
'【Eng Sub】Secret History of Princess Taiping EP09 ( Jia Jingwen，Zheng Shuang)太平公主秘史',23
'Love In Hanyuan EP16 Chinese Drama 【Eng Sub】| NewTV Drama',28
'愛來的剛好 EP05（韩栋、江铠同、李威）',24
'Love In Hanyuan EP18 Chinese Drama 【Eng Sub】| NewTV Drama',24
'愛來的剛好 EP21（韩栋、江铠同、李威）',29
'Love In Hanyuan EP09 Chinese Drama 【Eng Sub】| NewTV Drama',22
'【壮志高飞】撤侨题材成热点？陈乔恩郑恺演绎大国航空梦',40
'迪丽热巴超帅打戏！一拳揍扁渣男',22
'幸福小丈夫 EP25（陈英俊、黄娟）古装贺岁喜剧',28
'Love Just Come EP54 Chinese Drama 【Eng Sub】| NewTV Drama',21
'麻辣变形计 EP05（迪丽热巴，马可，邵兵）',24
'《她很漂亮》 第8集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',28
'愛來的剛好 EP52（韩栋、江铠同、李威)',26
'薛平贵与王宝钏 51',26
'Love In Hanyuan EP29 Chinese Drama 【Eng Sub】| NewTV Drama',21
'Love In Hanyuan EP14 Chinese Drama 【Eng Sub】| NewTV Drama',20
'愛來的剛好 EP10（韩栋、江铠同、李威）',25
'《她很漂亮》 第16集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',25
'麻辣变形计 EP21（迪丽热巴，马可，邵兵）',20
'愛來的剛好 EP32（韩栋、江铠同、李威）',24
'小楼又东风 EP01（严屹宽，宋轶，朱梓骁）',19
'薛平贵与王宝钏 01',23
